val_id,id,study_id,is_the_model_published_previously,method,method_sub,domain,sd_origin,metric_origin,n_classes,k_folds,n_participants,test_environment,test_protocol,validation_type,age_group,test_device,metric,mean,sd,yi,vi_fold,vi_class,vi_ext,vi_use,vi_source,method_group,miss_n_classes,miss_k_folds,n_classes_imp,k_folds_imp,c_n_classes,c_k_folds,env_re,prot_re,dom_re,se_use,est,ci_l,ci_u,auth_year,method_lab,row_lab
100,5492,Jeong 2022,No,Classical ML,RandomForest,Activity type,NA,macro,4,8,32,Laboratory,Structured,Cross-validation,Adults,GT3X+ (ActiGraph),Sensitivity,0.7295,NA,0.99208727,NA,NA,NA,0.151766045,constant,Other,0,0,4,8,1.280487805,-15.45967742,Laboratory,Structured,Activity type,0.389571617,0.7295,0.556884377,0.852663719,Row 5492,Classical ML,Row 5492 â€“ Classical ML â€“ (ID 100)
101,7472,Kim 2023,No,Classical ML,RandomForest,Sleep,NA,macro,2,NA,30,Laboratory,Structured,Apparent,Adults,Maxim band (Maxim Integrated),F1,0.9889,NA,4.489648106,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.9889,0.976479646,0.994796509,Row 7472,Classical ML,Row 7472 â€“ Classical ML â€“ (ID 101)
101,7472,Kim 2023,No,Classical ML,RandomForest,Sleep,NA,macro,2,NA,30,Laboratory,Structured,Apparent,Adults,Maxim band (Maxim Integrated),Sensitivity,0.9739,NA,3.619373315,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.9739,0.945618385,0.987665376,Row 7472,Classical ML,Row 7472 â€“ Classical ML â€“ (ID 101)
101,7472,Kim 2023,No,Classical ML,RandomForest,Sleep,NA,macro,2,NA,30,Laboratory,Structured,Apparent,Adults,Maxim band (Maxim Integrated),Specificity,0.6538,NA,0.635784852,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.6538,0.468099511,0.802079965,Row 7472,Classical ML,Row 7472 â€“ Classical ML â€“ (ID 101)
102,513,Kuo 2017,No,Heuristic Rule,HeuristicRule,Sleep,NA,aggregate_cm,2,NA,59,Laboratory,Structured,Hold-out,Adults,Custom,Sensitivity,0.9502,NA,2.948657505,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.9502,0.898903223,0.976158981,Row 513,Heuristic Rule,Row 513 â€“ Heuristic Rule â€“ (ID 102)
102,513,Kuo 2017,No,Heuristic Rule,HeuristicRule,Sleep,NA,aggregate_cm,2,NA,59,Laboratory,Structured,Hold-out,Adults,Custom,Specificity,0.713,NA,0.909999205,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.713,0.536544426,0.842049828,Row 513,Heuristic Rule,Row 513 â€“ Heuristic Rule â€“ (ID 102)
105,18650,Peraza 2020,No,Deep Learning,CNN_Fusion,Sleep,NA,aggregate_cm,2,NA,53,Laboratory,Structured,External,NA,AX3 (Axivity); HedgeHog prototype; GENEActiv (ActivInsights),Sensitivity,0.83,NA,1.585627264,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.83,0.694674908,0.912869635,Row 18650,Deep Learning,Row 18650 â€“ Deep Learning â€“ (ID 105)
105,18650,Peraza 2020,No,Deep Learning,CNN_Fusion,Sleep,NA,aggregate_cm,2,NA,53,Laboratory,Structured,External,NA,AX3 (Axivity); HedgeHog prototype; GENEActiv (ActivInsights),Specificity,0.5,NA,0,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.5,0.317873771,0.682126229,Row 18650,Deep Learning,Row 18650 â€“ Deep Learning â€“ (ID 105)
106,51,Lamprecht 2015,No,Classical ML,QuadraticDiscriminant,Sleep,cv_folds,aggregate_cm,2,24,24,Laboratory,Structured,Cross-validation,Children and Youth,Custom [LIS302],Sensitivity,0.85,NA,1.734601055,NA,NA,NA,0.151766045,constant,Other,0,0,2,24,-0.719512195,0.540322581,Laboratory,Structured,Sleep,0.389571617,0.85,0.72532688,0.924012829,Row 51,Classical ML,Row 51 â€“ Classical ML â€“ (ID 106)
106,51,Lamprecht 2015,No,Classical ML,QuadraticDiscriminant,Sleep,cv_folds,aggregate_cm,2,24,24,Laboratory,Structured,Cross-validation,Children and Youth,Custom [LIS302],Specificity,0.734,0.108,1.01501272,0.01274914,NA,NA,0.01274914,cv_folds,Other,0,0,2,24,-0.719512195,0.540322581,Laboratory,Structured,Sleep,0.112912088,0.734,0.688626318,0.774922879,Row 51,Classical ML,Row 51 â€“ Classical ML â€“ (ID 106)
107,2316,Li 2021,No,Classical ML,SVM,Sleep,cv_folds,aggregate_cm,2,10,105,Laboratory,Structured,Cross-validation,NA,E4 (Empatica),Sensitivity,0.7909,NA,1.330358931,NA,NA,NA,0.151766045,constant,Other,0,0,2,10,-0.719512195,-13.45967742,Laboratory,Structured,Sleep,0.389571617,0.7909,0.638024132,0.890310761,Row 2316,Classical ML,Row 2316 â€“ Classical ML â€“ (ID 107)
108,14825,Liang 2011,No,Heuristic Rule,HeuristicRule,Sleep,NA,aggregate_cm,2,NA,24,Laboratory,Structured,Hold-out,NA,Custom [ADXL335],Sensitivity,0.92,NA,2.442347035,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.92,0.842743799,0.961055979,Row 14825,Heuristic Rule,Row 14825 â€“ Heuristic Rule â€“ (ID 108)
108,14825,Liang 2011,No,Heuristic Rule,HeuristicRule,Sleep,NA,aggregate_cm,2,NA,24,Laboratory,Structured,Hold-out,NA,Custom [ADXL335],Specificity,0.7621,NA,1.164227363,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Laboratory,Structured,Sleep,0.389571617,0.7621,0.598847902,0.873004353,Row 14825,Heuristic Rule,Row 14825 â€“ Heuristic Rule â€“ (ID 108)
109,5753,Mahadevan 2021,Yes - implements published Cole-Kripke-Webster heuristically with open-source activity index proxy,Heuristic Rule,HeuristicRule,Sleep,cv_folds,aggregate_cm,2,32,32,Laboratory,Structured,Cross-validation,Children and Youth; Adults,GENEActiv (ActivInsights),F1,0.9,0.07,2.197224577,0.018904321,NA,NA,0.018904321,cv_folds,Threshold,0,0,2,32,-0.719512195,8.540322581,Laboratory,Structured,Sleep,0.137492985,0.9,0.872998875,0.921774925,Row 5753,Heuristic Rule,Row 5753 â€“ Heuristic Rule â€“ (ID 109)
109,5753,Mahadevan 2021,Yes - implements published Cole-Kripke-Webster heuristically with open-source activity index proxy,Heuristic Rule,HeuristicRule,Sleep,cv_folds,aggregate_cm,2,32,32,Laboratory,Structured,Cross-validation,Children and Youth; Adults,GENEActiv (ActivInsights),Sensitivity,0.95,0.08,2.944438979,0.088642659,NA,NA,0.088642659,cv_folds,Threshold,0,0,2,32,-0.719512195,8.540322581,Laboratory,Structured,Sleep,0.297729171,0.95,0.913795924,0.971473712,Row 5753,Heuristic Rule,Row 5753 â€“ Heuristic Rule â€“ (ID 109)
109,5753,Mahadevan 2021,Yes - implements published Cole-Kripke-Webster heuristically with open-source activity index proxy,Heuristic Rule,HeuristicRule,Sleep,cv_folds,aggregate_cm,2,32,32,Laboratory,Structured,Cross-validation,Children and Youth; Adults,GENEActiv (ActivInsights),Specificity,0.44,0.24,-0.241162057,0.029647706,NA,NA,0.029647706,cv_folds,Threshold,0,0,2,32,-0.719512195,8.540322581,Laboratory,Structured,Sleep,0.172185093,0.44,0.359244476,0.524061581,Row 5753,Heuristic Rule,Row 5753 â€“ Heuristic Rule â€“ (ID 109)
