val_id,id,study_id,is_the_model_published_previously,method,method_sub,domain,sd_origin,metric_origin,n_classes,k_folds,n_participants,test_environment,test_protocol,validation_type,age_group,test_device,metric,mean,sd,yi,vi_fold,vi_class,vi_ext,vi_use,vi_source,method_group,miss_n_classes,miss_k_folds,n_classes_imp,k_folds_imp,c_n_classes,c_k_folds,env_re,prot_re,dom_re,se_use,est,ci_l,ci_u,auth_year,method_lab,row_lab
280,35965,Weaver 2025,No,Deep Learning,LSTM,Sleep,participants,per_class,2,10,141,Laboratory,Structured,Cross-validation,Children and Youth,ActiGraph,Sensitivity,0.949,0.062,2.923583166,NA,NA,NA,0.148242524,constant,Other,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Sleep,0.385022758,0.949,0.897425299,0.975355007,Row 35965,Deep Learning,Weaver 2025 – Deep Learning – 280
109,5753,Mahadevan 2021,Yes - implements published Cole-Kripke-Webster heuristically with open-source activity index proxy,Heuristic Rule,HeuristicRule,Sleep,cv_folds,aggregate_cm,2,32,32,Laboratory,Structured,Cross-validation,Children and Youth; Adults,ActivInsights,Sensitivity,0.95,0.08,2.944438979,0.088642659,NA,NA,0.088642659,cv_folds,Threshold,0,0,2,32,-0.628078818,9.347826087,Laboratory,Structured,Sleep,0.297729171,0.95,0.913795924,0.971473712,Row 5753,Heuristic Rule,Mahadevan 2021 – Heuristic Rule – 109
197,984,Walch 2019,No,Classical ML,ANN,Sleep,NA,aggregate_cm,2,50,31,Laboratory,Structured,Cross-validation,Adults,Apple,Sensitivity,0.95,NA,2.944438979,NA,NA,NA,0.148242524,constant,Other,0,0,2,50,-0.628078818,27.34782609,Laboratory,Structured,Sleep,0.385022758,0.95,0.899329291,0.975851392,Row 984,Classical ML,Walch 2019 – Classical ML – 197
198,984,Walch 2019,No,Linear / GLM,LogisticRegression,Sleep,NA,aggregate_cm,2,50,31,Laboratory,Structured,Cross-validation,Adults,Apple,Sensitivity,0.95,NA,2.944438979,NA,NA,NA,0.148242524,constant,Threshold,0,0,2,50,-0.628078818,27.34782609,Laboratory,Structured,Sleep,0.385022758,0.95,0.899329291,0.975851392,Row 984,Linear / GLM,Walch 2019 – Linear / GLM – 198
281,35965,Weaver 2025,No,Deep Learning,LSTM,Sleep,participants,per_class,2,10,116,Laboratory,Structured,Cross-validation,Children and Youth,Fitbit,Sensitivity,0.95,0.077,2.944438979,NA,NA,NA,0.148242524,constant,Other,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Sleep,0.385022758,0.95,0.899329291,0.975851392,Row 35965,Deep Learning,Weaver 2025 – Deep Learning – 281
307,37664,Chen 2026,Yes - Sadeh 1994 algorithm (GGIR),Threshold / Cutpoint,Threshold,Sleep,participants,per_class,2,NA,30,Laboratory,Structured,External,Children and Youth,ActivInsights,Sensitivity,0.95,0.1,2.944438979,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.95,0.899329291,0.975851392,Row 37664,Threshold / Cutpoint,Chen 2026 – Threshold / Cutpoint – 307
102,513,Kuo 2017,No,Heuristic Rule,HeuristicRule,Sleep,NA,aggregate_cm,2,NA,59,Laboratory,Structured,Hold-out,Adults,Custom,Sensitivity,0.9502,NA,2.948657505,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.9502,0.899710577,0.975950604,Row 513,Heuristic Rule,Kuo 2017 – Heuristic Rule – 102
81,2956,Hernando 2018,No,Threshold / Cutpoint,Threshold,Activity intensity,classes,macro,6,NA,98,Laboratory,Structured,Apparent,Adults,ActivInsights,Sensitivity,0.9508,0.0357,2.961410112,NA,0.097068123,NA,0.097068123,classes,Threshold,0,1,6,22.65217391,3.371921182,0,Laboratory,Structured,Activity intensity,0.311557575,0.9508,0.9129944,0.972670082,Row 2956,Threshold / Cutpoint,Hernando 2018 – Threshold / Cutpoint – 81
184,10036,Trevenen 2019,No,Probabilistic Temporal,HMM,Sleep,cv_folds,aggregate_cm,2,10,242,Laboratory,Structured,Cross-validation,Adults,ActiGraph,Sensitivity,0.951,0.062,2.965693764,0.177023199,NA,NA,0.177023199,cv_folds,Other,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Sleep,0.42074125,0.951,0.894828612,0.977911166,Row 10036,Probabilistic Temporal,Trevenen 2019 – Probabilistic Temporal – 184
24,7678,Bianchim 2023,No,Threshold / Cutpoint,Threshold,Activity intensity,classes,macro,3,35,35,Laboratory,Structured,Cross-validation,Children and Youth,ActivInsights,Sensitivity,0.952,0.023,2.987364024,NA,0.084445798,NA,0.084445798,classes,Threshold,0,0,3,35,0.371921182,12.34782609,Laboratory,Structured,Activity intensity,0.290595592,0.952,0.91817436,0.97226495,Row 7678,Threshold / Cutpoint,Bianchim 2023 – Threshold / Cutpoint – 24
