Covidence #,Study ID,Title,SQ1,SQ2,SQ3,SQ4,Domain 1: Patient Selection/Study Design,SQ5,SQ6,Domain 2: Index Measure,SQ7,SQ8,Domain 3: Criterion Measure,SQ9,SQ10,SQ11,Domain 4: Flow and Timing
1041,Hibbing 2018,Estimating Energy Expenditure with ActiGraph GT9X Inertial Measurement Unit.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
1051,Migueles 2021,Calibration and Cross-Validation of Accelerometer Cut-Points to Classify Sedentary Time and Physical Activity from Hip and Non-Dominant and Dominant  Wrists in Older Adults.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,Yes,Yes,Yes,Low risk of bias
1068,Siddall 2019,Validity of energy expenditure estimation methods during 10 days of military training.,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
1079,Hildebrand 2014,Age group comparability of raw accelerometer output from wrist- and hip-worn monitors.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
1183,Roscoe 2017,Calibration of GENEActiv accelerometer wrist cut-points for the assessment of physical activity intensity of preschool aged children.,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
1238,Nightingale 2015,Influence of accelerometer type and placement on physical activity energy expenditure prediction in manual wheelchair users.,Yes,No,Yes,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
1279,vanHees 2013,Separating movement and gravity components in an acceleration signal and implications for the assessment of human daily physical activity.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,No,No,High risk of bias
1438,vanHees 2013,Impact of study design on development and evaluation of an activity-type classifier.,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,No,High risk of bias
1487,Kwon 2021,The Validity of MotionSense HRV in Estimating Sedentary Behavior and Physical Activity under Free-Living and Simulated Activity Settings.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
1518,vanHees 2011,Estimation of daily energy expenditure in pregnant and non-pregnant women using a wrist-worn tri-axial accelerometer.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
1664,Thapa-Chhetry 2022,Detecting Sleep and Nonwear in 24-h Wrist Accelerometer Data from the National Health and Nutrition Examination Survey.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
1795,Ahmadi 2018,Machine learning algorithms for activity recognition in ambulant children and adolescents with cerebral palsy.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
1830,Banfi 2021,Efficient embedded sleep wake classification for open-source actigraphy.,Yes,NA,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
1844,Ahmadi 2020,Laboratory-based and free-living algorithms for energy expenditure estimation in preschool children: A free-living evaluation.,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
2019,Migueles 2019,Accelerometer Data Processing and Energy Expenditure Estimation in Preschoolers.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
2101,Zhang 2012,Physical activity classification using the GENEA wrist-worn accelerometer.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,High risk of bias
2188,Duncan 2016,Validation of the Phillips et al. GENEActiv accelerometer wrist cut-points in children aged 5-8Â years old.,Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
2316,Li 2021,Transfer learning from ECG to PPG for improved sleep staging from wrist-worn wearables.,Yes,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
2326,Fridolfsson 2021,Measurement of Physical Activity by Shoe-Based Accelerometers-Calibration and Free-Living Validation.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
