Covidence #,Study ID,Title,SQ1,SQ2,SQ3,SQ4,Domain 1: Patient Selection/Study Design,SQ5,SQ6,Domain 2: Index Measure,SQ7,SQ8,Domain 3: Criterion Measure,SQ9,SQ10,SQ11,Domain 4: Flow and Timing
18650,Peraza 2020,Device agnostic sleep-wake segment classification from wrist-worn accelerometry,No,NA,No,Yes,High risk of bias,No,No,High risk of bias,Yes,No,High risk of bias,No,No,Yes,High risk of bias
24863,Trost 2014,Machine learning for activity recognition: hip versus wrist data,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,High risk of bias
25046,Ode 2022,A jerk-based algorithm ACCEL for the accurate classification of sleep-wake states from arm acceleration,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
25302,Trost 2018,Sensor-enabled Activity Class Recognition in Preschoolers: Hip versus Wrist Data,Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,High risk of bias
25531,Wullems 2024,Concurrent Validity of Four Activity Monitors in Older Adults,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
25641,Shwetar 2022,Predicting physical activity intensity using raw accelerometer signals in manual wheelchair users with spinal cord injury,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
25995,Ingraham 2019,Evaluating physiological signal salience for estimating metabolic energy cost from wearable sensors,Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,No,Yes,Yes,High risk of bias
26667,Hibbing 2023,Criterion validity of wrist accelerometry for assessing energy intake via the intake-balance technique,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
30700,Allik 2016,"Activity Classification for Real-time Wearable Systems: Effect of Window Length, Sampling Frequency and Number of Features on Classifier Performance",Yes,No,Yes,Yes,High risk of bias,No,Yes,High risk of bias,No,Yes,High risk of bias,No,Yes,Yes,High risk of bias
31390,Atallah 2011,Sensor Positioning for Activity Recognition Using Wearable Accelerometers,Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,High risk of bias
33648,van Loo 2018,Wrist Acceleration Cut Points for Moderate-to-Vigorous Physical Activity in Youth.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
34241,Hurter 2019,Validating the Sedentary Sphere method in children: Does wrist or accelerometer brand matter?,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,Yes,High risk of bias,No,Yes,Yes,High risk of bias
34283,Montoye 2021,Individual versus Group Calibration of Machine Learning Models for Physical Activity Assessment Using Body-Worn Accelerometers.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,No,High risk of bias
34730,van Loo 2017,Wrist Accelerometer Cut Points for Classifying Sedentary Behavior in Children.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
35066,Welch 2013,Classification Accuracy of the Wrist-Worn Gravity Estimator of Normal Everyday Activity Accelerometer.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
35670,Esliger 2011,Validation of the GENEA Accelerometer.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
35760,Chan 2024,CAPTURE-24: A large dataset of wrist-worn activity tracker data collected in the wild for human activity recognition.,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,No,High risk of bias,Yes,Yes,Yes,Low risk of bias
35809,PadovaniEderli 2025,Time-series visual representations for sleep stages classification.,No,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,No,Yes,High risk of bias
35916,Burger 2025,Accelerometry for sleep assessment in children: Criterium validity of different algorithms in wrist- and ankle-worn devices.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
35984,Skjødt 2025,"Moderate and Vigorous Physical Activity Intensity Cut-Points for Hip-, Wrist-, Thigh-, and Lower Back Worn Accelerometer in Very Old Adults.",Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,No,Yes,High risk of bias
35988,Song 2025,Interpretable deep learning for personalized energy expenditure prediction using ECG and acceleration signals in incremental exercise.,Yes,No,Yes,No,High risk of bias,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
35999,Cepni 2025,Evaluating the performance of open-source and proprietary processing of actigraphy sleep estimation in children with suspected sleep disorders: a  comparison with polysomnography.,No,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
36015,Bailey 2025,"Validity of a wrist-worn consumer-grade wearable for estimating energy expenditure, sedentary behaviour, and physical activity in manual wheelchair  users with spinal cord injury.",Yes,No,Yes,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
36021,Rahimi 2025,Moderately strong intraclass correlations between actigraphic and polysomnographic total sleep time and sleep efficiency in older adults with sleep  disturbance.,No,NA,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,No,Yes,High risk of bias
36060,Coyle-Asbil 2025,Evaluating machine learning approaches to predict the energy expenditure of cross-national preschool children: a study of preprocessing and feature effects.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,No,Yes,High risk of bias
36434,Logacjov 2025,Long-term self-supervised learning for accelerometer-based sleepâ€“wake recognition,No,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,No,No,Yes,High risk of bias
36448,Sirard 2025,Independent Validation of Sedentary Time and Physical Activity Intensity Accelerometer Algorithms in Adolescents,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,No,Yes,High risk of bias
36939,Clevenger 2024,A Consensus Method for Estimating Moderate to Vigorous Physical Activity Levels in Adults Using Wrist-Worn Accelerometers,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,High risk of bias,Yes,Yes,Yes,Low risk of bias
36944,Remillard 2024,Validation of Exercise and Postexercise Energy Expenditure Estimates Using Hip and Wrist Accelerometer Algorithms,Yes,No,Yes,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
37664,Chen 2026,Performance of an automated sleep scoring approach for actigraphy data in children and adolescents.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
37669,Coyle-Asbil 2026,Predicting Energy Expenditure in Preschool Children Using Accelerometer and Gyroscope Data.,Yes,Yes,Yes,Yes,Low risk of bias,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
37750,Potter 2025,The Physical Activity Assessment Using Wearable Sensors (PAAWS) Dataset: Labeled Laboratory and Free-living Accelerometer Data.,Yes,Yes,No,Yes,High risk of bias,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
38596,Coyle-Asbil 2024,Energy expenditure prediction in preschool children: a machine learning approach using accelerometry and external validation,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,No,Yes,High risk of bias
35965,Weaver 2025,Predicting Sleep and Sleep Stage in Children Using Actigraphy and Heartrate via a Long Short-Term Memory Deep Learning Algorithm: A Performance Evaluation.,No,Yes,No,Yes,High risk of bias,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
943,White 2019,Estimating energy expenditure from wrist and thigh accelerometry in free-living adults: a doubly labelled water study.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
