id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,features,features_extracted_from,window_size,feature_types_model,feature_selection,method_best,sub_method_best,outcomes
362,Phillips 2013,2013,United Kingdom,Children and Youth,44,26,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"Percentiles (10th, 25th, 50th, 75th, 90th), mean acceleration, SD of acceleration, percentiles of signal frequency (10th, 25th, 50th, 75th, 90th), range of frequency distribution, total signal power, mean frequency, dominant frequency, power of dominant frequency, second dominant frequency, power of second dominant frequency, dominant frequency (0.6-2.5 Hz), power of dominant frequency (0.6-2.5 Hz), entropy, entropy density, ratio noise/signal","Individual axes (x,y,z)",1 sec,Time-domain,Based on previous research,Threshold / Cutpoint,Threshold,Activity intensity
188,Plekhanova 2023,2023,United Kingdom,Adults,30,19,Apparently healthy,1,0,GENEActiv (ActivInsights); AX3 (Axivity); GT9X Link (ActiGraph),ActivInsights; Axivity; ActiGraph,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Autocalibration using GGIR and discarding abnormally high values,Median filter,Low-pass,,,,Time-domain; Spatial,Threshold-crossing metric,"Individual axes (x,y,z)",5 sec,Time-domain; Spatial,n.a.,Heuristic Rule,HeuristicRule,Sleep-Wake
1183,Roscoe 2017,2017,United Kingdom,Children and Youth,21,8,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,87.5 Hz,81-100 Hz,0,87.5 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"MAD, AGI, inclination angle, participant height, arm length, leg length","Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
542,Rosenberger 2013,2013,United States of America,Adults; Older adults,37,24,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Triaxial ,±2g,n.r.,90 Hz,81-100 Hz,0,90 Hz,None,Low-pass 5 sec moving average filter,Low-pass,n.a.,n.r.,Subtracting prior 5 sec moving average,Time-domain,"average, deviation, df, power of df, second df, power of second df, total power (0.3 and 15 Hz), df (0.6-2.5 Hz), power f625, p1/total power, ration b/w df at current and previous segment, DWT (wavelet decomposition)","Individual axes (x,y,z)",1 sec,Time-domain,n.r.,Threshold / Cutpoint,Threshold,Activity intensity; Energy expenditure
12268,Rowlands 2016,2016,United Kingdom,Adults,34,20,n.r.,n.r.,0,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±6g; ±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain,"Number of RMS values crossing 0.01, coefficient from Cole's function, w/s score from Cole's function, mean of RMS, SD of RMS, min of RMS, max of RMS","Individual axes (x,y,z)",15 sec,Time-domain,n.a.,Classical ML,DecisionTree,Activity type
124,Ryser 2023,2023,Switzerland,Adults,19,n.r.,Apparently healthy,n.r.,1,ZurichMOVE,ZurichMOVE,n.r.,Triaxial ,±8g,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,Deadband elimination <0.05 g set 0 as considered noise,High-pass,0.25,n.a.,Filter,Time-domain,"HLM and HNLM: ENMO (mg)
SLM: Standard deviation of VM, mean angle of acceleration relative to vertical
SNLM: Mean of VM, standard deviation of VM, percent power in 0.6€“2.5 Hz band, dominant frequency of VM, fraction of power at dominant frequency, mean angle of acceleration relative to vertical, standard deviation of angle of acceleration relative to vertical",Signal vector magnitude,30 sec,Time-domain,None,Heuristic Rule,HeuristicRule,Sleep-Wake
307,Sanders 2019,2019,United Kingdom; Ireland,Older adults,34,24,Apparently healthy,1,1,GENEActiv (ActivInsights); GT3X+ (ActiGraph),ActivInsights; ActiGraph,n.r.,Triaxial ,n.r.,n.r.,60 Hz,51-80 Hz,0,60 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"For each of ENMO, Z-angle, LIDS: mean, SD, min, max, MAD, entropy(20 bins), entropy(200 bins), prev/next 30 s diff, prev/next 60 s diff, prev/next 120 s diff (12 Ã— 3 = 36) ","Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
2869,Sano 2014,2014,United States of America,n.r.,15,n.r.,n.r.,n.r.,1,Q Sensor (Affectiva Inc.),Affectiva Inc.,n.r.,Triaxial ,n.r.,n.r.,8 Hz,1-20 Hz,0,8 Hz,None,Bandpass filter (2-3 Hz),Band-pass,2,3,None,Time-domain,"Variance of accelerometer signal (unitless), height (m), log(height), product of variances, lagged variances",Root mean square,30 sec,Time-domain,None,Classical ML,SVM,Sleep-Wake
5450,Sansom 2023,2023,Australia,Adults,835,483,Clinical,1,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,GGIR QC pipeline: visual mismatch flag when diary vs accelerometer differs > 4 h; nights dropped if wear < 16 h or cleaningcode > 1,None,None,,,,Time-domain; Spatial,SVM (g.s),"Individual axes (x,y,z)",5 sec,Time-domain; Spatial,n.a.,Heuristic Rule,HeuristicRule,Sleep-Wake
5580,Sasaki 2016,2016,United States of America,Older adults,50,30,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,SVM (g/min),"Individual axes (x,y,z)","Lab, structured: 20 sec
Free-living, unstructured: 30 sec",Time-domain; Frequency-domain,n.r.,Classical ML,RandomForest,Activity type
