id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,features,features_extracted_from,window_size,feature_types_model,feature_selection,method_best,sub_method_best,outcomes
417,vanHees 2015,2015,United Kingdom; Netherlands; France,Adults; Older adults,28,11,Mixed,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,85.7 Hz,81-100 Hz,0,85.7 Hz,Auto-calibration using GGIR,Median filter,Low-pass,n.a.,n.r.,None,Time-domain; Spatial,"Mean wrist elevation angle (degrees), mean vector magnitude (milli-g), summed gravity-subtracted vector magnitude (g.15 s)","Individual axes (x,y,z)",5 sec,Time-domain; Spatial,n.a.,Heuristic Rule,HeuristicRule,Sleep-Wake
4934,vanHees 2018,2018,Netherlands; France; United Kingdom; United States of America; ,Adults; Older adults,50,26,Mixed,n.r.,1,"Sleep clinic: GENEActiv (ActivInsights)
Healthy: n.r. (Axivity)",ActivInsights; Axivity,n.r.,Triaxial ,±8g,n.r.,85.7-100 Hz,81-100 Hz,0,85.7-100 Hz,Auto-calibration using GGIR,Median filter,Low-pass,n.a.,n.r.,n.a.,Time-domain; Spatial,Mean daily acceleration converted to mean daily duration of MVPA (min),"Individual axes (x,y,z)",5 sec,Time-domain; Spatial,n.a.,Heuristic Rule,HeuristicRule,Sleep-Wake
854,Vibæk 2024,2024,Denmark,Children and Youth,33,15,Apparently healthy,n.r.,1,AX3 (Axivity),Axivity,n.r.,Triaxial ,±8g,13 bit,50 Hz,21-50 Hz,1,30 Hz,None,None,None,n.a.,n.a.,Subtracting mean,Time-domain; Spatial,"Mean, SD, dominant frequency, power of the dominant frequency, second dominant frequency, power of f2, total power (0.3-15 Hz)
, dominant frequency between (0.6-2.5 Hz), power corresponding with f625, p1/total power, the ratio between dominant frequency at the current and previous segment, 2 wavelet features
","Individual axes (x,y,z)",10 sec,Time-domain; Spatial,None,Deep Learning,CNN_LSTM,Energy expenditure
984,Walch 2019,2019,United States of America,Adults,31,21,Apparently healthy,n.r.,1,Apple Series 2 and 3 (Apple),Apple,n.r.,Triaxial ,n.r.,n.r.,50 Hz,21-50 Hz,0,50 Hz,Check for missing data for linear interpolation,Butterworth bandpass (3-11 Hz) [fifth order] + Gaussian filter,Band-pass,3,11,FIlter,Time-domain,SVM (g.s),"Y axis (not explicitly mentioned, but stated in cited paper - Lindert et al 2013)",30 sec,Time-domain,n.a.,Classical ML,ANN,Sleep-Wake
2676,Wang 2016,2016,United States of America,Adults,152,79,n.r.,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,50 ms moving-average filter,Low-pass,n.r.,n.r.,None; Subtracting 1g from VM,Time-domain; Spatial,Median of absolute change in arm angle (degrees) between successive epochs (5-sec) for a specified window (5-min),"Individual axes (x,y,z)",10 sec,Time-domain; Spatial,None,Threshold / Cutpoint,Threshold,Energy expenditure
2834,Weaver 2024,2024,United States of America,Children and Youth,75,32,Apparently healthy,1,0,GT9X Link (ActiGraph); Apple Watch Series 7 (Apple); Vivoactive 4 (Garmin),ActiGraph; Apple; Garmin,n.r.,Triaxial ,±8g; ±16g; ±8g,n.r.,25-50 Hz,21-50 Hz,0,25-50 Hz,Auto-calibration using GGIR,None,None,,,,Time-domain,CNN-derived time-domain and spatial features,"Individual axes (x,y,z)",15 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
35066,Welch 2013,2013,United States of America,Adults,130,67,Apparently healthy,1,0,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,,,,Time-domain,Median of absolute change in arm angle (degrees) between successive epochs (5-sec) for a specified window (5-min),"Individual axes (x,y,z)",1 sec extended to 60 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
943,White 2019,2019,United Kingdom,Adults; Older adults,100,50,Apparently healthy,n.r.,1,AX3 (Axivity),Axivity,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,"Sample check and resampling done using linear interpolation, calibration of signal to local gravity (GGIR cited) ","ENMO: None
Filtered VM: No low-pass or bandpass filter",High-pass,0.2,n.a.,Filter,Time-domain,"VM: Average, standard deviation, coefficient of variation, minimum, maximum, 25th, 75th percentiles, lag 1 sec autocorrelation, third, fourth moments, skewness, kurtosis, dominant frequency, power at dominant frequency, total energy, entropy, 15 FFT coefficients
Multi-axis: Correlation between axis, average of roll, pitch, and yaw, standard deviation of roll, pitch, and yaw, principal direction of motion","Individual axes (x,y,z)",5 sec,Time-domain,n.a.,Linear / GLM,LinearRegression,Energy expenditure
25531,Wullems 2024,2024,Belgium; United Kingdom; Lithuania,Older adults,20,10,Apparently healthy,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,,,,Time-domain,Median of absolute change in arm angle between successive epochs (5-sec) for a specified window (5-min),"Individual axes (x,y,z)",15 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
5335,Xu 2023,2023,China,Adults,100,50,Apparently healthy,n.r.,1,WT901SDCL (Shenzhen Weite Intelligent Technology Co.; Ltd),Shenzhen Weite Intelligent Technology Co.,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Kalman filter applied to raw axes (n.r. parameters),Low-pass,n.a.,n.r.,De-trend subtraction,Time-domain,n.r.,Signal vector magnitude,60 sec,Time-domain,Heuristic - correlation & RMSE comparison,Classical ML,ANN,Energy expenditure
11204,Yoshida 2017,2017,Japan,Adults; Older adults,261,n.r.,n.r.,n.r.,1,HFM-3DP (Suzuken Co.; Ltd),Suzuken Co.,n.r.,Triaxial ,n.r.,n.r.,31.25 Hz,21-50 Hz,1,2 Hz,None,Band-pass (0.02-0.08 Hz) per axis,Band-pass,0.02,0.08,FIlter,Time-domain,n.r.,"Individual axes (x,y,z)",30 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Sleep-Wake
5985,Yuan 2024,2024,United Kingdom; Australia; United States of America,Adults,1740,n.r.,Mixed,n.r.,1,GT3X (ActiGraph); AX3 (Axivity); GENEActiv Original (ActivInsights),ActiGraph; Axivity; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,"n.r.
",n.r.,1,"30 Hz
",Unrealistic value check (>200 mg),None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,SVMgs (gram/second),"Individual axes (x,y,z)",30 sec,Time-domain; Frequency-domain,n.a. (end-to-end learning),Deep Learning,CNN_LSTM,Sleep-Wake
2101,Zhang 2012,2012,United Kingdom; Australia,Adults,60,37,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Time-frequency,"Mean, SD, percentiles (10th, 25th, 50th, 75th, 90th), Mean Amplitude Deviation, lag-one autocorrelation, signal power, dominant frequency (0.25-3.0 Hz), dominant frequency magnitude (0.25-3.0 Hz), entropy (0.25-3.0 Hz)",Signal vector magnitude,12.8 sec,Time-domain; Frequency-domain; Time-frequency,None,Classical ML,DecisionTree,Activity type
465,Zhang 2012,2012,United Kingdom; Australia,Adults,60,37,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Time-frequency,SVM (g.s),Signal vector magnitude,12.8 sec,Time-domain; Frequency-domain; Time-frequency,None,Classical ML,DecisionTree,Activity type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9603,3551,,19,111,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,36.9780277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
