id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,window_size,method_best,sub_method_best,outcomes
36944,Remillard 2024,2024,United States of America,Adults,9,0,Apparently healthy,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g,Time-domain,30 sec,Linear / GLM,LinearRegression,Energy expenditure
92,Sundararajan 2021,2021,Netherlands; United States of America; France; United Kingdom,Adults,164,82,Mixed,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,n.r.,n.r.,n.r.,n.r.,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,"Time-domain; Non-linear, Spatial",30 sec,Classical ML,RandomForest,Sleep-Wake
124,Ryser 2023,2023,Switzerland,Adults,19,n.r.,Apparently healthy,n.r.,1,ZurichMOVE,ZurichMOVE,n.r.,Triaxial ,±8g,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,Deadband elimination <0.05 g set 0 as considered noise,High-pass,0.25,n.a.,Filter,Time-domain,30 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
188,Plekhanova 2023,2023,United Kingdom,Adults,30,19,Apparently healthy,1,0,GENEActiv (ActivInsights); AX3 (Axivity); GT9X Link (ActiGraph),ActivInsights; Axivity; ActiGraph,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Autocalibration using GGIR and discarding abnormally high values,Median filter,Low-pass,,,,Time-domain; Spatial,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
513,Kuo 2017,2017,Taiwan,Adults,81,34,n.r.,n.r.,1,Custom,Custom,ADXL335 (Analog Device),Triaxial ,±3g,10 bit,1 Hz,1-20 Hz,0,1 Hz,None,None,None,n.a.,n.a.,Filter,Time-domain,30 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
804,Chao 2021,2021,United States of America,Adults,58,n.r.,Mixed,n.r.,1,Apple Watch; GENEActiv (ActivInsights),Apple; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,50-85.7 Hz,51-80 Hz,0,50-85.7 Hz,None,Bandpass (3 - 11 Hz) [n.r.] for activity counts,Band-pass,3,11,FIlter,Time-domain,30 sec,Classical ML,RandomForest,Sleep-Wake
884,Tabar 2021,2021,Denmark,Adults,20,13,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Classical ML,RandomForest,Sleep-Wake
984,Walch 2019,2019,United States of America,Adults,31,21,Apparently healthy,n.r.,1,Apple Series 2 and 3 (Apple),Apple,n.r.,Triaxial ,n.r.,n.r.,50 Hz,21-50 Hz,0,50 Hz,Check for missing data for linear interpolation,Butterworth bandpass (3-11 Hz) [fifth order] + Gaussian filter,Band-pass,3,11,FIlter,Time-domain,30 sec,Deep Learning,ANN,Sleep-Wake
1664,Thapa-Chhetry 2022,2022,United States of America,Adults,97,46,Apparently healthy,n.r.,1,GT3X+ (ActiGraph); GT9X (ActiGraph); AX3 (Axivity),ActiGraph; Axivity,n.r.,Triaxial ,n.r.,n.r.,80-100 Hz,81-100 Hz,1,80 Hz,None,Polyphase filtering for resampling,Low-pass,n.a.,n.r.,None,Time-domain; Spatial,,Linear / GLM,LogisticRegression,Sleep-Wake
1830,Banfi 2021,2021,Italy,Adults,81,n.r.,Mixed,n.r.,1,AX3 (Axivity Ltd.),Axivity,ADXL345 (Analog Devices),Triaxial ,n.r.,10 bit,100 Hz,81-100 Hz,1,8.3 Hz,None,None,None,n.a.,n.a.,None,CNN-derived time-domain and spatial features,30 sec,Deep Learning,CNN,Sleep-Wake
5450,Sansom 2023,2023,Australia,Adults,835,483,Clinical,1,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,GGIR QC pipeline: visual mismatch flag when diary vs accelerometer differs > 4 h; nights dropped if wear < 16 h or cleaningcode > 1,None,None,,,,Time-domain; Spatial,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
5985,Yuan 2024,2024,United Kingdom; Australia; United States of America,Adults,1740,n.r.,Mixed,n.r.,1,GT3X (ActiGraph); AX3 (Axivity); GENEActiv Original (ActivInsights),ActiGraph; Axivity; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,"n.r.
",n.r.,1,"30 Hz
",Unrealistic value check (>200 mg),None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,30 sec,Deep Learning,CNN_LSTM,Sleep-Wake
7472,Kim 2023,2023,South Korea,Adults,30,13,Mixed,n.r.,1,Maxim band (Maxim Integrated),Maxim Integrated,n.r.,Triaxial ,n.r.,n.r.,24 Hz,21-50 Hz,1,30 Hz,None,Bandpass (0.29 - 1.63 Hz) [first order],Band-pass,0.29,1.63,FIlter,Time-domain,30 sec,Classical ML,RandomForest,Sleep-Wake
7483,Felton 2023,2023,United States of America,Adults,n.r.,n.r.,n.r.,n.r.,0,Apple Watch; Custom,Apple; Custom,n.r.,Triaxial ,±5g,n.r.,n.r.,n.r.,n.r.,n.r.,None,Bandpass (n.r.) [n.r.],Band-pass,n.r.,n.r.,Filter,Time-domain,30 sec,Threshold / Cutpoint,Threshold,Sleep-Wake
8106,Huang 2022,2022,United States of America; China,Adults,58,n.r.,Mixed,n.r.,1,Apple Watch; GENEActiv (ActivInsights),Apple; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,50-85.7 Hz,51-80 Hz,0,50-85.7 Hz,None,Finite Impulse Response low-pass filter (5 Hz),Low-pass,n.a.,5,None,CNN-derived time-domain features,30 sec,Deep Learning,CNN_Attention,Sleep-Wake
9734,Barouni 2020,2020,Germany,Adults,93,n.r.,Mixed,n.r.,1,Move3 (Movisens GmbH),Movisens,n.r.,Triaxial ,±8g,4 mg,64 Hz,51-80 Hz,0,64 Hz,None,Butterworth bandpass (0.25-3 Hz) [fourth order],Band-pass,0.25,3,FIlter,Time-domain,30 sec,Threshold / Cutpoint,Threshold,Sleep-Wake
10036,Trevenen 2019,2019,Australia,Adults,242,120,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,30 sec,Probabilistic Temporal,HMM,Sleep-Wake
10688,Fujimoto 2018,2018,Japan,Adults,100,40,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Triaxial ,n.r.,n.r.,n.r.,n.r.,n.r.,n.r.,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Threshold / Cutpoint,Threshold,Sleep-Wake
25046,Ode 2022,2022,Japan,Adults,25,0,Apparently healthy,n.r.,1,Custom,Custom,LSM6DSM (STMicroelectronics),Triaxial ,±2g,16 bit,n.r.,n.r.,n.r.,n.r.,None,On-board low-pass filter (n.r.) [n.r.],Low-pass,n.a.,n.r.,None,Time-domain; Frequency-domain,30 sec,Classical ML,GradientBoosting,Sleep-Wake
35809,PadovaniEderli 2025,2025,Brazil; Peru,Adults,31,n.r.,Apparently healthy,n.r.,1,Apple Watch Series 2 and 3 (Apple Inc.),Apple,n.r.,Triaxial ,n.r.,n.r.,n.r.,n.r.,n.r.,n.r.,None,None,None,n.a.,n.a.,None,Time-domain with spatial/visual encoding,30 sec,Deep Learning,CNN,Sleep-Wake
36434,Logacjov 2025,2025,Norway,Adults; Older adults,131,76,Mixed,n.r.,1,"Walch: Apple Watch
DREAMT: Empatica E4 (Empatica)",Apple; Empatica,n.r.,Triaxial ,n.r.,n.r.,All resampled to 50 Hz,Variable,1,50 Hz,None,None,None,n.a.,n.a.,n.r.,"Time-frequency features

Simple models using time-domain features",n.a.,Deep Learning,ANN,Sleep-Wake
176,Montoye 2018,2018,United States of America,Adults; Older adults,63,32,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,20-60 Hz,Variable,0,20-60 Hz,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Classical ML,RandomForest,Activity intensity
257,Montoye 2020,2020,United States of America,Adults; Older adults,101,52,Apparently healthy,n.r.,0,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30-60 Hz,Variable,0,30-60 Hz,Auto-calibration using GGIR,None,None,,,,Time-domain,60 sec,Threshold / Cutpoint,Threshold,Activity intensity
3298,Mardini 2021,2021,United States of America,Adults; Older adults,253,157,Apparently healthy,1,1,GT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,60 sec,Classical ML,GradientBoosting,Activity intensity; Activity type; Energy expenditure
542,Rosenberger 2013,2013,United States of America,Adults; Older adults,37,24,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Triaxial ,±2g,n.r.,90 Hz,81-100 Hz,0,90 Hz,None,Low-pass 5 sec moving average filter,Low-pass,n.a.,n.r.,Subtracting prior 5 sec moving average,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity; Energy expenditure
13708,Mannini 2013,2013,Italy; United States of America,Adults; Older adults,33,22,n.r.,n.r.,1,Custom ,Custom,MMA7331LCR1 (NXP Semiconductors),Triaxial ,±4g,n.r.,90 Hz,81-100 Hz,0,90 Hz,Data loss checked - windows with less than 80% samples at 90 Hz discarded,Butterworth low-pass filter (15 Hz) [fourth order],Low-pass,n.a.,15,None,Time-domain; Frequency-domain; Time-frequency domain,12.8 sec,Classical ML,SVM,Activity type
34283,Montoye 2021,2021,United States of America,Adults; Older adults,48,25,Apparently healthy,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Spatial,30 sec,Classical ML,RandomForest,Activity type
36939,Clevenger 2024,2024,United States of America,Adults; Older adults,30,15,Apparently healthy,n.r.,0,GT9X (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,60 Hz,51-80 Hz,0,60 Hz,None,None,None,n.a.,n.a.,Subtracting 1g,Time-domain,"1-60 sec, various methods",Threshold / Cutpoint,Threshold,Activity type
2919,Mardini 2020,2020,United States of America,Adults; Older adults,145,96,Apparently healthy,1,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30-100 Hz,Variable,1,30 Hz,None,Bandpass (n.r.) [n.r.],Band-pass,n.r.,n.r.,FIlter,Time-domain; Spatial,15 sec,Deep Learning,CNN_LSTM,Activity type; Energy expenditure
37750,Potter 2025,2025,United States of America,Adults; Older adults,244,n.r.,n.r.,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,"Activity type: Time-domain, Frequency-domain, spatial
SWaN Sleep: n.r.",10 sec; 30 sec,Classical ML,RandomForest,Activity type; Sleep-Wake
943,White 2019,2019,United Kingdom,Adults; Older adults,100,50,Apparently healthy,n.r.,1,AX3 (Axivity),Axivity,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,"Sample check and resampling done using linear interpolation, calibration of signal to local gravity (GGIR cited) ","ENMO: None
Filtered VM: No low-pass or bandpass filter",High-pass,0.2,n.a.,Filter,Time-domain,5 sec,Linear / GLM,LinearRegression,Energy expenditure
417,vanHees 2015,2015,United Kingdom; Netherlands; France,Adults; Older adults,28,11,Mixed,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,85.7 Hz,81-100 Hz,0,85.7 Hz,Auto-calibration using GGIR,Median filter,Low-pass,n.a.,n.r.,None,Time-domain; Spatial,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
687,TeLindert 2020,2020,Netherlands,Adults; Older adults,114,83,Mixed,n.r.,0,GENEActiv Sleep (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,None,None,,,,Time-domain,30 sec,Threshold / Cutpoint,Threshold,Sleep-Wake
4934,vanHees 2018,2018,Netherlands; France; United Kingdom; United States of America; ,Adults; Older adults,50,26,Mixed,n.r.,1,"Sleep clinic: GENEActiv (ActivInsights)
Healthy: n.r. (Axivity)",ActivInsights; Axivity,n.r.,Triaxial ,±8g,n.r.,85.7-100 Hz,81-100 Hz,0,85.7-100 Hz,Auto-calibration using GGIR,Median filter,Low-pass,n.a.,n.r.,n.a.,Time-domain; Spatial,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
5408,Patterson 2023,2023,United States of America,Adults; Older adults,28,11,Mixed,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,85.7 Hz,81-100 Hz,0,85.7 Hz,Auto-calibration using GGIR,"n.r. (van Hees algorithm, Median filter assumed)",Low-pass,,,,Time-domain; Spatial,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
8620,Mikulec 2021,2021,Czech Republic,Adults; Older adults,28,11,Mixed,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,87.5 Hz,81-100 Hz,0,87.5 Hz,None,Median filter,Low-pass,,,,Time-domain; Spatial,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
11204,Yoshida 2017,2017,Japan,Adults; Older adults,261,n.r.,n.r.,n.r.,1,HFM-3DP (Suzuken Co.; Ltd),Suzuken Co.,n.r.,Triaxial ,n.r.,n.r.,31.25 Hz,21-50 Hz,1,2 Hz,None,Band-pass (0.02-0.08 Hz) per axis,Band-pass,0.02,0.08,FIlter,Time-domain,30 sec,Threshold / Cutpoint,Threshold,Sleep-Wake
13351,Borazio 2014,2014,Germany,Adults; Older adults,42,20,Clinical,n.r.,1,Custom ,Custom,ADXL345 (Analog Devices),Triaxial ,±4g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Visual inspection,"Oakley: Butterworth bandpass (3-11 Hz) [first order];
Cole: Butterworth bandpass (0.5-11 Hz) [first order];
Estimation of Stationary Sleep-segments (ESS): Time-domain low-pass filter (standard deviation <= 6)",Low-pass,n.a.,n.r.,None,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Sleep-Wake
36021,Rahimi 2025,2025,Australia,Adults; Older adults,12,9,Clinical,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,None,None,n.a.,n.a.,Subtracting 1g,Time-domain,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
362,Phillips 2013,2013,United Kingdom,Children and Youth,44,26,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity
377,Crotti 2020,2020,United Kingdom,Children and Youth,32,17,n.r.,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity
574,Schaefer 2014,2014,United States of America,Children and Youth,24,13,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,75 Hz,51-80 Hz,0,75 Hz,None,Bandpass (0.2 - 15 Hz) non-recursive filter,Band-pass,0.2,15,FIlter,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity
577,Duncan 2020,2020,United Kingdom,Children and Youth,20,0,Apparently healthy,1,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity
1183,Roscoe 2017,2017,United Kingdom,Children and Youth,21,8,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,87.5 Hz,81-100 Hz,0,87.5 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity
2188,Duncan 2016,2016,United Kingdom,Children and Youth,15,6,Apparently healthy,1,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity
2608,Hibbing 2018,2018,United States of America,Children and Youth,81,46,n.r.,n.r.,1,GT3X+ (ActiGraph); wGT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,12 bit,100 Hz,81-100 Hz,0,100 Hz,Accelerometer data coefficient of variation for each activity > 90% - removed participant from analysis,'Normal filter' specified (n.r.),n.r.,n.r.,n.r.,Subtracting 1g from VM,Time-domain,"1 sec, 15 sec",Hybrid / Ensemble,ANN + DT,Activity intensity
2834,Weaver 2024,2024,United States of America,Children and Youth,75,32,Apparently healthy,1,0,GT9X Link (ActiGraph); Apple Watch Series 7 (Apple); Vivoactive 4 (Garmin),ActiGraph; Apple; Garmin,n.r.,Triaxial ,±8g; ±16g; ±8g,n.r.,25-50 Hz,21-50 Hz,0,25-50 Hz,Auto-calibration using GGIR,None,None,,,,Time-domain,15 sec,Threshold / Cutpoint,Threshold,Activity intensity
4137,Duncan 2019,2019,United Kingdom,Children and Youth,30,14,Apparently healthy,1,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity
5455,Trost 2022,2022,Australia,Children and Youth,18,8,n.r.,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,30 Hz,21-50 Hz,0,30 Hz,Autocalibration procedures performed described by Nadeau et al. (2017) - calibrated to local gravity using ellipsoid fitting,None,None,,,,Time-domain,5 sec,Threshold / Cutpoint,Threshold,Activity intensity
6979,Bianchim 2024,2024,United Kingdom,Children and Youth,63,31,Mixed,n.r.,1,GT9X Link (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Visual inspection,6 Hz cutoff to separate low/high frequency components,Low-pass,n.a.,6,None,Time-domain,5 sec,Classical ML,GradientBoosting,Activity intensity
7678,Bianchim 2023,2023,United Kingdom,Children and Youth,63,31,Mixed,n.r.,1,"GT9X Link (ActiGraph); GENEActiv (ActivInsights)
",ActiGraph; ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM; Subtracting mean,Time-domain,5 sec,Threshold / Cutpoint,Threshold,Activity intensity
33648,van Loo 2018,2018,Australia; United Kingdom; Norway; Australia,Children and Youth,57,29,Apparently healthy,1,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,12 bit,100 Hz,81-100 Hz,0,100 Hz,Auto-calibration using GGIR,Bandpass (fourth order) [0.2-15 Hz],None; Band-pass,,,,Time-domain,Based on model evaluated,Threshold / Cutpoint,Threshold,Activity intensity
52,Ahmadi 2020,2020,Australia,Children and Youth,31,9,n.r.,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,15 sec,Classical ML,RandomForest,Activity type
54,Marcotte 2020,2020,United States of America,Children and Youth,48,26,Apparently healthy,n.r.,0,GT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,n.r.,80 Hz,51-80 Hz,0,80 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain; Frequency-domain,Depends on model evaluated (see corresponding model details),Classical ML,RandomForest,Activity type
962,Ahmadi 2022,2022,Australia,Children and Youth,31,9,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None; Subtracting 1g from VM,Time-domain; Frequency-domain,15 sec,Classical ML,RandomForest,Activity type
2995,Ahmadi 2020,2020,Australia,Children and Youth,38,25,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,10 sec,Classical ML,RandomForest,Activity type
4490,Ahmadi 2020,2020,Australia,Children and Youth,31,9,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Spatial,15 sec,Classical ML,RandomForest,Activity type
24863,Trost 2014,2014,Australia; United States of America,Children and Youth,52,24,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain,10 sec,Linear / GLM,LogisticRegression,Activity type
25302,Trost 2018,2018,Australia,Children and Youth,11,6,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,15 sec,Classical ML,SVM,Activity type
34241,Hurter 2019,2019,United Kingdom,Children and Youth,27,17,Apparently healthy,n.r.,0,GT9X Link (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,15 sec,Classical ML,DecisionTree,Activity type
34730,van Loo 2017,2017,Australia; Norway,Children and Youth,57,29,Apparently healthy,1,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,"Phillips et al., 2013 algorithm - None
Schaefer et al., 2014 algorithm - Band-pass filter (0.2-15 Hz)",None; Band-pass,15,0.2,Filter,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity type
36448,Sirard 2025,2025,United States of America,Children and Youth,42,21,Apparently healthy,1,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g,Time-domain,60 sec,Threshold / Cutpoint,Threshold,Activity type
854,Vibæk 2024,2024,Denmark,Children and Youth,33,15,Apparently healthy,n.r.,1,AX3 (Axivity),Axivity,n.r.,Triaxial ,±8g,13 bit,50 Hz,21-50 Hz,1,30 Hz,None,None,None,n.a.,n.a.,Subtracting mean,Time-domain; Spatial,10 sec,Deep Learning,CNN_LSTM,Energy expenditure
1844,Ahmadi 2020,2020,Australia,Children and Youth,10,n.r.,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,10 sec,Classical ML,RandomForest,Energy expenditure
2019,Migueles 2019,2019,Spain; Sweden; Canada,Children and Youth,39,18,Apparently healthy,n.r.,1,wGT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,50 Hz,21-50 Hz,0,50 Hz,GGIR autocalibration and removal of abnormally high values beyond accelerometer dynamic range,None,None,n.a.,n.a.,Filter,Time-domain,5 sec,Linear / GLM,LinearRegression,Energy expenditure
9905,Montoye 2019,2019,United States of America; United Kingdom,Children and Youth,61,15,Apparently healthy,n.r.,1,wGT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,100 Hz,81-100 Hz,1,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain,15 sec,Deep Learning,ANN,Energy expenditure
10178,Steenbock 2019,2019,Germany,Children and Youth,41,n.r.,Apparently healthy,1,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Classical ML,RandomForest,Energy expenditure
12084,Mackintosh 2016,2016,United Kingdom; United States of America,Children and Youth,27,12,n.r.,n.r.,1,wGT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Bandpass filter (0.25-2.5 Hz) [n.r.] - cited information,Band-pass,0.25,2.5,FIlter,Time-domain,15 sec,Deep Learning,ANN,Energy expenditure
36060,Coyle-Asbil 2025,2025,Canada; Germany,Children and Youth,72,n.r.,Apparently healthy,1,1,"Canadian dataset: OPAL sensors (APDM, Portland, USA)
German dataset: GENEActiv (ActivInsights Ltd, UK)",APDM; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Bandpass (0.3 - 10 Hz) [fourth order],Band-pass,10,0.3,Filter,Time-domain; Frequency-domain; Other: Participant features also included,30 sec,Classical ML,RandomForest,Energy expenditure
37669,Coyle-Asbil 2026,2026,Canada,Children and Youth,36,16,Apparently healthy,1,1,OPAL (APDM),APDM,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Bandpass (0.3 - 10 Hz) [fourth order],Band-pass,10,0.3,Filter,Time-domain; Frequency-domain,30 sec,Classical ML,RandomForest,Energy expenditure
38596,Coyle-Asbil 2024,2024,Germany; Canada,Children and Youth,77,35,Apparently healthy,1,1,"German (LOSO-CV):
GENEActiv (ActivInsights)

Canada (External):
OPAL (APDM)",APDM; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,"Linear model: Time-domain
CNN: raw time-series",30 sec,Deep Learning,CNN,Energy expenditure
51,Lamprecht 2015,2015,Australia,Children and Youth,24,8,Clinical,n.r.,1,Custom,Custom,LIS302 (STMicroelectronics),Triaxial ,±2g,8 bit,100 Hz,81-100 Hz,1,40 Hz,Manual screening for artefacts - blocks of missing data (up to 2 sec) interpolated using piecewise cubic interpolation,"Butterworth lowpass (2 Hz) [fifth order], Butterworth bandpass filter (2-12 Hz) [tenth order]",Low-pass; Band-pass,2,12,FIlter,Time-domain,30 sec,Classical ML,QuadraticDiscriminant,Sleep-Wake
