metric,k_rows,clusters,vcov_type,kept_mods,pooled_std_est,pooled_std_lb,pooled_std_ub
F1,28,15,CR2,"c_n_classes, c_k_folds, miss_k_folds, env_re, prot_re, dom_re",0.7414,0.6903,0.7925
Sensitivity,89,44,CR2,"c_n_classes, c_k_folds, miss_k_folds, env_re, prot_re, dom_re",0.8675,0.8347,0.9004
Specificity,88,44,CR2,"c_n_classes, c_k_folds, miss_k_folds, env_re, prot_re, dom_re",0.7491,0.7062,0.7919
